iter	Passed	Remaining
0	0	795
1	1	721
2	2	688
3	2	664
4	3	645
5	4	735
6	5	759
7	6	751
8	6	733
9	7	718
10	7	704
11	8	694
12	9	685
13	9	679
14	10	676
15	10	671
16	11	665
17	12	658
18	12	653
19	13	649
20	13	646
21	14	642
22	15	638
23	15	634
24	16	630
25	16	627
26	17	623
27	17	620
28	18	623
29	20	651
30	21	658
31	21	655
32	22	652
33	22	651
34	23	648
35	24	646
36	24	643
37	25	641
38	25	640
39	26	638
40	27	636
41	27	634
42	28	632
43	29	630
44	29	627
45	30	626
46	30	624
47	31	622
48	31	620
49	32	618
50	33	616
51	34	627
52	35	633
53	36	632
54	36	631
55	37	629
56	37	627
57	38	626
58	39	624
59	39	623
60	40	621
61	41	620
62	41	619
63	42	618
64	42	616
65	43	614
66	44	613
67	44	612
68	45	611
69	45	609
70	46	607
71	47	606
72	47	604
73	48	603
74	50	628
75	51	627
76	52	626
77	52	624
78	53	623
79	54	621
80	54	620
81	55	618
82	55	614
83	56	612
84	56	611
85	57	609
86	57	607
87	58	606
88	59	605
89	59	604
90	60	602
91	60	601
92	61	600
93	62	599
94	62	598
95	63	597
96	64	601
97	65	602
98	66	601
99	66	599
100	67	597
101	67	596
102	68	595
103	68	593
104	69	592
105	70	590
106	70	589
107	71	587
108	71	586
109	72	585
110	72	583
111	73	582
112	73	580
113	74	579
114	75	577
115	75	576
116	76	574
117	76	572
118	77	571
119	77	570
120	78	572
121	80	576
122	80	576
123	81	575
124	82	574
125	82	573
126	83	571
127	83	569
128	84	568
129	84	567
130	85	565
131	85	564
132	86	563
133	86	561
134	87	560
135	88	559
136	88	558
137	89	557
138	89	555
139	90	554
140	90	553
141	91	551
142	91	550
143	92	549
144	92	547
145	94	550
146	94	550
147	95	550
148	96	549
149	96	548
150	97	547
151	97	546
152	98	545
153	99	544
154	99	543
155	100	542
156	100	541
157	101	540
158	101	539
159	102	538
160	102	536
161	103	535
162	103	534
163	104	532
164	105	531
165	105	531
166	106	529
167	106	528
168	107	528
169	108	528
170	109	530
171	110	530
172	110	530
173	111	529
174	112	528
175	112	527
176	113	526
177	113	525
178	114	524
179	114	523
180	115	522
181	115	521
182	116	520
183	117	519
184	117	517
185	118	516
186	118	515
187	119	515
188	119	514
189	120	513
190	120	512
191	121	511
192	122	510
193	122	509
194	124	515
195	125	516
196	126	515
197	126	514
198	127	513
199	128	512
200	128	511
201	129	510
202	129	509
203	130	508
204	130	507
205	131	506
206	132	505
207	132	504
208	133	503
209	133	503
210	134	502
211	134	501
212	135	500
213	135	499
214	136	498
215	137	497
216	137	496
217	138	495
218	140	500
219	141	501
220	141	500
221	142	499
222	143	498
223	143	497
224	144	496
225	144	495
226	145	494
227	145	493
